Indice;Fecha_larga;Fecha_AAAAMMDD;B1;B2;B3;B4;B5;B6;C;R;Recaudación;Bote;ACE;PCE;AC1;PC1;AC2;PC2;AC3;PC3;AC4;PC4;AC5;PC5;ACR;PCR
67; Resultado del  sábado 11 de enero de 2020;20200111; 13; 14; 15; 23; 24; 41;39;7;12.855.657,00;20.500.000;0;0,00;0;0,00;3;77.327,79;238;2.111,89;12.475;65,09;239.832;8,00;1.371.695;1,00
68; Resultado del  jueves 9 de enero de 2020;20200109; 03; 19; 34; 36; 44; 48;04;3;13.405.339,00;19.600.000;0;0,00;1;1.733.879,42;0;0,00;198;4.159,56;11.040;82,45;212.213;8,00;1.359.905;1,00
69; Resultado del  sábado 4 de enero de 2020;20200104; 01; 02; 22; 27; 30; 44;36;5;12.036.999,00;18.800.000;0;0,00;1;1.478.231,02;2;110.867,33;189;2.541,93;11.576;67,04;215.134;8,00;1.282.361;1,00
70; Resultado del  jueves 2 de enero de 2020;20200102; 11; 25; 32; 40; 44; 46;12;2;12.033.789,00;18.000.000;0;0,00;3;522.409,21;4;58.771,04;198;2.572,47;10.114;81,35;187.142;8,00;1.179.410;1,00
71; Resultado del  sábado 28 de diciembre de 2019;20191228; 05; 07; 27; 39; 42; 48;14;1;11.878.821,00;17.100.000;0;0,00;2;721.033,09;5;43.261,99;216;2.169,78;11.325;66,85;217.538;8,00;1.124.393;1,00
72; Resultado del  jueves 26 de diciembre de 2019;20191226; 13; 35; 43; 45; 46; 47;02;6;11.525.560,00;16.700.000;0;0,00;1;1.448.018,40;3;72.400,92;206;2.284,50;12.088;62,89;195.807;8,00;1.159.447;1,00
73; Resultado del  sábado 21 de diciembre de 2019;20191221; 08; 11; 37; 38; 42; 45;17;2;12.051.476,00;14.400.000;0;0,00;0;0,00;1;235.049,05;150;3.395,15;9.848;83,54;188.210;8,00;1.170.953;1,00
74; Resultado del  jueves 19 de diciembre de 2019;20191219; 19; 31; 32; 37; 40; 48;36;1;12.437.005,00;13.400.000;0;0,00;1;1.697.569,70;10;25.463,55;134;4.117,24;8.018;111,15;169.091;8,00;1.170.172;1,00
75; Resultado del  sábado 14 de diciembre de 2019;20191214; 06; 16; 18; 30; 32; 41;19;4;11.770.292,00;11.000.000;0;0,00;0;0,00;7;33.212,43;159;3.168,06;9.041;90,00;177.731;8,00;1.162.657;1,00
76; Resultado del  jueves 12 de diciembre de 2019;20191212; 02; 13; 31; 32; 33; 40;05;9;12.308.285,00;8.600.000;0;0,00;0;0,00;4;60.199,57;152;3.432,43;9.301;90,61;190.678;8,00;1.191.064;1,00
77; Resultado del  sábado 7 de diciembre de 2019;20191207; 02; 13; 34; 36; 41; 42;28;6;11.227.075,00;6.400.000;0;0,00;0;0,00;9;24.304,00;147;3.224,00;8.920;85,83;175.823;8,00;1.127.529;1,00
78; Resultado del  jueves 5 de diciembre de 2019;20191205; 01; 17; 18; 40; 41; 43;21;7;12.314.003,00;3.900.000;0;0,00;0;0,00;3;83.243,95;168;3.220,75;8.190;106,72;172.388;8,00;1.307.666;1,00
79; Resultado del  sábado 30 de noviembre de 2019;20191130; 02; 04; 07; 09; 16; 41;25;3;11.286.258,00;0;0;0,00;0;0,00;16;12.252,30;197;2.156,07;13.222;51,89;226.442;8,00;1.156.863;1,00
80; Resultado del  jueves 28 de noviembre de 2019;20191128; 07; 11; 21; 41; 43; 46;16;2;11.723.291,00;0;1;724.174,59;2;724.174,59;3;72.417,46;187;2.517,18;10.962;69,37;206.826;8,00;1.142.667;1,00
81; Resultado del  sábado 23 de noviembre de 2019;20191123; 05; 07; 08; 09; 17; 42;03;3;11.266.253,00;2.800.000;1;1.279.318,50;2;602.569,17;8;22.596,34;266;1.472,44;15.880;39,84;257.121;8,00;1.144.550;1,00
82; Resultado del  jueves 21 de noviembre de 2019;20191121; 03; 05; 11; 27; 34; 37;40;6;11.639.117,00;0;0;0,00;2;676.749,33;4;50.756,20;233;1.887,93;12.823;55,42;231.732;8,00;1.170.191;1,00
83; Resultado del  sábado 16 de noviembre de 2019;20191116; 09; 26; 33; 34; 36; 44;28;4;11.378.359,00;0;1;756.644,31;1;1.513.288,62;1;226.993,29;116;4.239,82;7.761;102,37;167.130;8,00;1.131.617;1,00
84; Resultado del  jueves 14 de noviembre de 2019;20191114; 02; 16; 19; 25; 37; 43;30;7;12.559.268,00;19.000.000;1;17.637.121,09;3;517.105,95;9;25.855,30;264;1.909,77;13.715;59,38;221.672;8,00;1.341.569;1,00
85; Resultado del  sábado 9 de noviembre de 2019;20191109; 01; 24; 29; 42; 44; 45;38;1;12.082.572,00;16.500.000;0;0,00;0;0,00;2;120.551,68;144;3.627,71;8.443;99,95;177.346;8,00;1.144.998;1,00
86; Resultado del  jueves 7 de noviembre de 2019;20191107; 10; 12; 23; 26; 41; 46;34;4;12.785.801,00;15.700.000;0;0,00;2;813.669,29;8;30.512,60;187;2.828,26;10.700;79,85;210.658;8,00;1.264.943;1,00
87; Resultado del  sábado 2 de noviembre de 2019;20191102; 05; 18; 26; 28; 46; 47;13;9;11.609.835,00;13.400.000;0;0,00;0;0,00;3;72.832,68;147;3.220,49;10.168;75,21;197.849;8,00;1.120.955;1,00
88; Resultado del  jueves 31 de octubre de 2019;20191031; 05; 07; 15; 29; 42; 44;40;2;12.910.970,00;12.800.000;0;0,00;2;746.875,30;4;56.015,65;229;2.119,95;13.949;56,22;259.445;8,00;1.259.590;1,00
89; Resultado del  sábado 26 de octubre de 2019;20191026; 02; 06; 23; 36; 37; 46;34;5;12.011.619,00;11.900.000;0;0,00;1;1.519.009,82;2;113.925,74;174;2.837,23;10.767;74,07;200.963;8,00;1.288.883;1,00
90; Resultado del  jueves 24 de octubre de 2019;20191024; 05; 13; 19; 38; 39; 42;45;0;12.393.005,00;11.200.000;0;0,00;1;1.550.632,10;6;38.765,80;204;2.470,37;11.650;69,88;212.534;8,00;1.152.039;1,00
